layer,target_sheet,source_system,source_entityset,source_role,row_granularity,key_mapping,select_scope,expected,extracted,validated,rejected,missing_relation,status,incremental_strategy,notes
COMMERCIAL,RAW_CURRENT_PRICES,1C_STANDARD_ODATA,InformationRegister_ЦеныНоменклатуры_RecordType,current price snapshot input,one row per current product+source variant+price type,current_price_id=product+variant_id_raw+price_type; typed variant FK nullable,scoped 204 products,"62,878 baseline; <=91,140 upper envelope","322,849 history rows observed before snapshot",pending,pending,pending,RULE_CONFIRMED_COUNT_PENDING,atomic replace of validated current snapshot,One current snapshot only; no daily history append
COMMERCIAL,RAW_CURRENT_STOCK,1C_STANDARD_ODATA,AccumulationRegister_СвободныеОстатки_RecordType,current stock snapshot input,one row per current product+variant+warehouse,stable product+variant+warehouse; signed sum through cutoff,scoped 204 products,"<=72,912","1,104,986 movements observed before balance",pending,pending,pending,RULE_CONFIRMED_COUNT_PENDING,atomic replace of validated current snapshot,"Explicit zero rows retained; stock_total is a reproducible validation output, not a sheet"
COMMERCIAL,RAW_CURRENT_STOCK,AI_FACTORY_DERIVATION,RAW_CURRENT_STOCK,current stock snapshot input,one row per current product+variant+warehouse,stable product+variant+warehouse; signed sum through cutoff,all variants,"<=9,114 control totals at the current cutoff",recomputed from current warehouse rows,reconciled by CTRL-STOCK-TOTAL,mismatches reject current-stock snapshot,0 required,CONTROL_ONLY,atomic replace of validated current snapshot,"Explicit zero rows retained; stock_total is a reproducible validation output, not a sheet"
COMMERCIAL,RAW_BARCODES,1C_STANDARD_ODATA,InformationRegister_ШтрихкодыНоменклатуры,primary source,one row per barcode relation,barcode+product+variant+package,204 products,"14,295","14,295","14,295",0,0,VALIDATED,full scoped upsert,Leading zeros as text
COMMERCIAL,RAW_SUPPLIER_ITEMS,1C_STANDARD_ODATA,Catalog_НоменклатураПоставщиков,primary source,one row per supplier record,supplier_item_id=Ref_Key,204 products,333,333,333,0,0,VALIDATED,full scoped upsert,256 articles observed
MEDIA,RAW_VARIANT_IMAGE_LINKS,1C_STANDARD_ODATA,Catalog_iq_ИзображенияХарактеристик,primary source,one row per image link,link_id=Ref_Key,204 products,"6,173","6,173","6,173",0,0,VALIDATED,full scoped upsert,"6,170 non-zero image keys; 5,721 color scheme links"
MEDIA,RAW_COLOR_SCHEMES,1C_STANDARD_ODATA,Catalog_iq_ЦветоваяСхема,lookup,one row per referenced scheme,color_scheme_id=Ref_Key,referenced keys,886,886,886,0,0,VALIDATED,referenced closure,HEX/RGB source data
MEDIA,RAW_COLOR_PALETTES,1C_STANDARD_ODATA,Catalog_iq_ЦветоваяПалитра,lookup,one row per referenced palette,palette_id=Ref_Key,referenced keys,20 observed,20 references,pending,0,pending,COUNT_PENDING,referenced closure,Final field select must be validated
MEDIA,RAW_PRODUCT_FILES,1C_STANDARD_ODATA,Catalog_НоменклатураПрисоединенныеФайлы,primary source,one row per product file,file_id=Ref_Key,203 linked products,445,445,445,0,0,VALIDATED,full scoped upsert,No binary/Base64
MEDIA,RAW_VARIANT_FILES,1C_STANDARD_ODATA,Catalog_iq_ИзображенияХарактеристикПрисоединенныеФайлы,lookup,one row per referenced file,file_id=Ref_Key,"6,170 non-zero keys","<=6,170",one direct record proven,pending,pending,pending,COUNT_PENDING,referenced key batches,Do not infer exact count from link count
MEDIA,RAW_BINARY_STORAGE_METADATA,1C_STANDARD_ODATA,InformationRegister_ДвоичныеДанныеФайлов,metadata only,one row per file+type,Файл+Файл_Type,referenced files only,"<=6,615",direct composite key and payload proven,pending,pending,pending,MECHANISM_VALIDATED_COUNT_PENDING,direct key per file,Never write Base64 to Sheets
CONTENT,RAW_DESCRIPTIONS,1C_STANDARD_ODATA,Catalog_Номенклатура,direct description,one row per product description,owner=Ref_Key; content=Описание,204 products,204 potential,204,202 nonblank,0,2 blank,VALIDATED,full scoped upsert,Raw text only
CONTENT,RAW_DESCRIPTIONS,1C_STANDARD_ODATA,Catalog_iq_ОписаниеТовара,website descriptions,two rows per source record,Owner_Key + content type,204 products,112 potential,56 records,105 nonblank values,0,7 blank values,VALIDATED,full scoped upsert,56 HTML + 49 plain nonblank
CONTENT,RAW_ATTRIBUTE_DEFINITIONS,1C_STANDARD_ODATA,Catalog_iq_Фильтры,definitions,one row per referenced definition,definition_id=Ref_Key,referenced values + parents,<=503 before dedup,480 values + 23 parents,pending dedup,pending,pending,VALIDATED_REFERENCES,referenced closure,23/23 parent lookups succeeded
CONTENT,RAW_ATTRIBUTE_VALUES,1C_STANDARD_ODATA,InformationRegister_iq_ФильтрыТоваровИнтернетМагазина,values,one row per product-filter record,product+filter+source record,204 products,"7,860","7,860","7,860",0,0,VALIDATED,full scoped upsert,203 products covered
MARKETPLACE,RAW_MARKETPLACE_LISTINGS,1C_STANDARD_ODATA,Catalog_Kaspi_КарточкаТовара,Kaspi listing,one row per card,platform+Ref_Key,204 products,"4,910","4,910","4,910",7 deletion marks retained,0,VALIDATED,full scoped upsert,"187 products; 3,918 characteristics"
MARKETPLACE,RAW_MARKETPLACE_CONTENT,1C_STANDARD_ODATA,Catalog_Kaspi_КарточкаТовара,Kaspi content,one row per card,listing_id=KASPI:Ref_Key; source_listing_id_raw=Ref_Key,same cards,"4,910","4,910","4,910",0,0,VALIDATED,full scoped upsert,"4,293 nonblank descriptions"
MARKETPLACE,RAW_MARKETPLACE_IMAGES,1C_STANDARD_ODATA,Catalog_Kaspi_КарточкаТовара_images,Kaspi images,one row per image line,listing_id=KASPI:Ref_Key; image_id=listing+LineNumber,"4,910 cards","5,133","5,133","5,133",0,110 cards without images,VALIDATED,full scoped upsert,"4,800 cards with images"
MARKETPLACE,RAW_MARKETPLACE_LISTINGS,1C_STANDARD_ODATA,InformationRegister_Ozon_СоответствиеТоваров,Ozon mapping,one row per mapping,composite register key,204 products in small batches,"unknown final; >=2,408","2,408",partial,0,unknown,PARTIAL_QUERY_LENGTH_LIMIT,small-batch upsert,Current confirmed coverage >=124 products
RELATIONS,RAW_PRODUCT_RELATIONS,1C_STANDARD_ODATA,Catalog_iq_РекомендуемыеТовары,explicit recommendations,one row per owner-target link,owner+target source GUID; in-scope FK nullable,204 products,5,5,5,0,0,VALIDATED,full scoped upsert,No AI-generated relation
TECHNICAL,RAW_SOURCE_SYSTEMS,CONTRACT,TECHNICAL,technical,one row per source,source_system_id,contract-defined,3,n/a,n/a,n/a,n/a,CONTRACT,versioned upsert,No secrets
TECHNICAL,RAW_SCHEMA_VERSIONS,CONTRACT,TECHNICAL,technical,one row per schema,schema_version_id,contract-defined,1,n/a,n/a,n/a,n/a,CONTRACT,append-only,Owner approval required
TECHNICAL,RAW_EXTRACTION_RUNS,AI_FACTORY_DERIVATION,TECHNICAL,technical,one row per entity attempt,run_id,every extraction,30-45/run,n/a,n/a,n/a,n/a,CONTRACT,append-only,
TECHNICAL,RAW_EXTRACTION_ERRORS,AI_FACTORY_DERIVATION,TECHNICAL,technical,one row per error,error_id,errors only,0 on success,n/a,n/a,n/a,n/a,CONTRACT,append-only,Safe redacted messages
METADATA,RAW_DATA_DICTIONARY,CONTRACT,TECHNICAL,metadata,one row per field,sheet_name+field_name,this contract,466,n/a,n/a,n/a,n/a,CONTRACT,replace by schema version,
METADATA,RAW_ENTITYSET_MAPPING,CONTRACT,TECHNICAL,metadata,one row per mapping,target_sheet+source_entityset+source_role,this contract,38,n/a,n/a,n/a,n/a,CONTRACT,replace by schema version,
