layer,sheet_name,field_name,field_description,row_granularity,data_type,nullable,primary_key,foreign_key,source_system,source_entityset,source_property,field_classification,validation_rule,example_value,incremental_rule,deletion_rule,ai_seller_direct,future_consumer,expected_rows_current_scope,confirmed_status,notes
TECHNICAL,RAW_EXTRACTION_RUNS,started_at_utc,Start time,one row per EntitySet extraction attempt,datetime,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,ISO-8601 UTC,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,finished_at_utc,Finish time,one row per EntitySet extraction attempt,datetime,YES,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,ISO-8601 UTC,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,scope_filter_masked,Read-only scope without secrets,one row per EntitySet extraction attempt,text,YES,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,selected_fields,Comma-separated source fields,one row per EntitySet extraction attempt,text,YES,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,extractor_version,Extractor build/version,one row per EntitySet extraction attempt,text,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,Not blank,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,status,Run status,one row per EntitySet extraction attempt,enum,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,STARTED|SUCCESS|PARTIAL|FAILED|REJECTED,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,expected_count,Expected control count,one row per EntitySet extraction attempt,integer,YES,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,extracted_count,Rows received,one row per EntitySet extraction attempt,integer,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,DERIVED,>=0,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,validated_count,Rows accepted by validation,one row per EntitySet extraction attempt,integer,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,DERIVED,>=0,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,rejected_count,Rows rejected,one row per EntitySet extraction attempt,integer,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,DERIVED,>=0,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,missing_relation_count,FK misses,one row per EntitySet extraction attempt,integer,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,DERIVED,>=0,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,content_checksum_sha256,Canonical extracted dataset checksum,one row per EntitySet extraction attempt,sha256,YES,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,DERIVED,64 lowercase hex,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,error_summary,Safe error summary,one row per EntitySet extraction attempt,text,YES,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,No secrets or protected URL,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,error_id,Unique error key,one row per safe extraction/validation error,text,NO,YES,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,run_id,Affected run,one row per safe extraction/validation error,text,NO,NO,RAW_EXTRACTION_RUNS.run_id,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,source_entityset,EntitySet,one row per safe extraction/validation error,text,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,source_record_id_masked,Safe record key,one row per safe extraction/validation error,text,YES,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,error_stage,Extraction stage,one row per safe extraction/validation error,enum,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,FETCH|PARSE|MAP|VALIDATE|LOAD,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,error_type,Safe error class,one row per safe extraction/validation error,text,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,http_status,HTTP status if relevant,one row per safe extraction/validation error,integer,YES,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,message_safe,Redacted message,one row per safe extraction/validation error,text,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,No secret/Base64/full protected URL,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,retryable,Whether safe retry is possible,one row per safe extraction/validation error,boolean,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,occurred_at_utc,Error time,one row per safe extraction/validation error,datetime,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,resolution_status,Resolution state,one row per safe extraction/validation error,enum,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,OPEN|RETRIED|RESOLVED|ACCEPTED_GAP,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_ERRORS,notes,Operator notes,one row per safe extraction/validation error,text,YES,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,0 on successful freeze; dynamic,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,layer,Data Dictionary column: layer,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,sheet_name,Data Dictionary column: sheet_name,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,field_name,Data Dictionary column: field_name,one row per physical field in RAW COMPLETE v1,text,NO,PART,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,field_description,Data Dictionary column: field_description,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,row_granularity,Data Dictionary column: row_granularity,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,data_type,Data Dictionary column: data_type,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,nullable,Data Dictionary column: nullable,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,primary_key,Data Dictionary column: primary_key,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,foreign_key,Data Dictionary column: foreign_key,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,source_system,Data Dictionary column: source_system,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,source_entityset,Data Dictionary column: source_entityset,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,source_property,Data Dictionary column: source_property,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,field_classification,Data Dictionary column: field_classification,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,validation_rule,Data Dictionary column: validation_rule,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,example_value,Data Dictionary column: example_value,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,incremental_rule,Data Dictionary column: incremental_rule,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,deletion_rule,Data Dictionary column: deletion_rule,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,ai_seller_direct,Data Dictionary column: ai_seller_direct,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
METADATA,RAW_DATA_DICTIONARY,future_consumer,Data Dictionary column: future_consumer,one row per physical field in RAW COMPLETE v1,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,equal to field count in this contract,CONFIRMED_SOURCE,
